,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
63465|MBD1_isoform1,0.9999930584503105,Homo sapiens,MBD1_isoform1,,HepG2,Epithelium,Liver,1,MBD1_isoform1
63301|NKRF,0.9999931874605453,Homo sapiens,NKRF,,K562,Erythroblast,Bone Marrow,1,NKRF
46157|POU2F2,0.9999932602754786,Homo sapiens,POU2F2,tf,GM12891,Lymphoblastoid,Blood,1,POU2F2
42804|ZBTB10,0.9999947786319765,Homo sapiens,ZBTB10,tf,LoVo,None,Colon,1,ZBTB10
4632|KAT5,0.9999947946898515,Homo sapiens,KAT5,cr,None,T Lymphocyte,Blood,1,KAT5
38635|FOXD2,0.999995526577184,Homo sapiens,FOXD2,tf,LoVo,None,Colon,1,FOXD2
52242|ZTA,0.9999955382488627,Homo sapiens,ZTA,other,Akata,B Lymphocyte,None,1,ZTA
76528|EPC1,0.9999962487556981,Homo sapiens,EPC1,tf,K562,Lymphoblast,None,1,EPC1
77183|ZKSCAN5,0.9999966571754073,Homo sapiens,ZKSCAN5,tf,293T,None,None,1,ZKSCAN5
65154|ZSCAN22,0.9999967088248769,Homo sapiens,ZSCAN22,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN22
45905|CHD2,0.9999967663004492,Homo sapiens,CHD2,cr,K562,Erythroblast,Bone Marrow,1,CHD2
62930|ZNF341,0.9999974320345586,Homo sapiens,ZNF341,,HEK293,Epithelium,Embryonic Kidney,1,ZNF341
42774|NFYC,0.9999975088561701,Homo sapiens,NFYC,tf,LoVo,None,Colon,1,NFYC
42720|HOXA4,0.9999975508604084,Homo sapiens,HOXA4,tf,LoVo,None,Colon,1,HOXA4
41573|ING5,0.9999976822616685,Homo sapiens,ING5,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING5
77537|REL,0.9999977477336033,Homo sapiens,REL,tf,GM12878,Lymphoblastoid,None,1,REL
76568|UHRF2,0.9999978094009827,Homo sapiens,UHRF2,other,293T,None,None,1,UHRF2
70928|RBBP4,0.9999980680882481,Homo sapiens,RBBP4,cr,T98G,Glioblastoma cell,None,1,RBBP4
63902|ZXDB,0.9999980878926122,Homo sapiens,ZXDB,,HEK293,Epithelium,Embryonic Kidney,1,ZXDB
74844|JMJD6,0.999998112124712,Homo sapiens,JMJD6,cr,None,IN528,None,1,JMJD6
77260|WDHD1,0.9999981177317512,Homo sapiens,WDHD1,tf,MCF-7,None,None,1,WDHD1
63477|POLR2H,0.9999983674097039,Homo sapiens,POLR2H,,K562,Erythroblast,Bone Marrow,1,POLR2H
77039|ZNF783,0.9999983903304495,Homo sapiens,ZNF783,tf,293T,None,None,1,ZNF783
64302|E2F5,0.9999983967295707,Homo sapiens,E2F5,,K562,Erythroblast,Bone Marrow,1,E2F5
8794|RBBP5,0.9999987398060369,Homo sapiens,RBBP5,cr,K562,Erythroblast,Bone Marrow,1,RBBP5
76494|BRPF3,0.9999991048877008,Homo sapiens,BRPF3,other,RKO,Epithelium,Colon,1,BRPF3
64143|NFRKB,0.9999991974000844,Homo sapiens,NFRKB,,K562,Erythroblast,Bone Marrow,1,NFRKB
77366|TIAM1,0.9999993063238622,Homo sapiens,TIAM1,other,SW480,Epithelium,Colon,1,TIAM1
63525|ZFP2,0.9999994021581361,Homo sapiens,ZFP2,,HEK293,Epithelium,Embryonic Kidney,1,ZFP2
77112|ZNF479,0.9999994273591959,Homo sapiens,ZNF479,tf,293T,None,None,1,ZNF479
63034|PRDM10,0.9999994526602036,Homo sapiens,PRDM10,,HEK293,Epithelium,Embryonic Kidney,1,PRDM10
63738|ZNF654,0.9999994719253916,Homo sapiens,ZNF654,,HEK293,Epithelium,Embryonic Kidney,1,ZNF654
46320|TAF1,0.9999994954084812,Homo sapiens,TAF1,tf,MCF-7,Epithelium,Breast,1,TAF1
63155|GABP,0.9999995773961158,Homo sapiens,GABP,,HepG2,Epithelium,Liver,1,GABP
53323|INTS3,0.9999996007634429,Homo sapiens,INTS3,predicted transcription factor,HeLa,Epithelium,Cervix,1,INTS3
63449|DEAF1,0.9999996338538704,Homo sapiens,DEAF1,,K562,Erythroblast,Bone Marrow,1,DEAF1
65057|TGIF2,0.9999996483757536,Homo sapiens,TGIF2,tf,HepG2,Epithelium,Liver,1,TGIF2
32850|TERC,0.9999997096688336,Homo sapiens,TERC,other,HeLa,Epithelium,Cervix,1,TERC
46071|E2F6,0.9999997707598127,Homo sapiens,E2F6,tf,A549,Epithelium,Lung,1,E2F6
65063|ZNF574,0.9999997887903926,Homo sapiens,ZNF574,,HEK293,Epithelium,Embryonic Kidney,1,ZNF574
77256|ZXDC,0.9999998265963845,Homo sapiens,ZXDC,tf,MCF-7,None,None,1,ZXDC
64091|KLF8,0.9999998572842397,Homo sapiens,KLF8,,HEK293,Epithelium,Embryonic Kidney,1,KLF8
8799|SAP30,0.9999998628158255,Homo sapiens,SAP30,not sure,K562,Erythroblast,Bone Marrow,1,SAP30
42722|HOXA6,0.9999998692718889,Homo sapiens,HOXA6,tf,LoVo,None,Colon,1,HOXA6
45618|TBP,0.9999998799956189,Homo sapiens,TBP,tf,GM12878,B Lymphocyte,Blood,1,TBP
65073|ZNF280A,0.9999998904151002,Homo sapiens,ZNF280A,,HEK293,Epithelium,Embryonic Kidney,1,ZNF280A
76526|BRD9,0.9999999019586123,Homo sapiens,BRD9,other,NOMO-1,Acute myeloid leukemia,None,1,BRD9
76468|PHF2,0.9999999066757337,Homo sapiens,PHF2,tf,None,N8-CTx,None,1,PHF2
5194|HMGN1,0.9999999366522225,Homo sapiens,HMGN1,both predicted transcription factor and chromatin regulator,None,T Lymphocyte,Blood,1,HMGN1
50434|ELK3,0.9999999409888958,Homo sapiens,ELK3,tf,None,Endothelial Cell,Umbilical Vein,1,ELK3
50210|DDX21,0.9999999445328783,Homo sapiens,DDX21,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,DDX21
64424|KLF16,0.9999999600544329,Homo sapiens,KLF16,,K562,Erythroblast,Bone Marrow,1,KLF16
43305|CDK6,0.9999999647005634,Homo sapiens,CDK6,predicted transcription factor,None,None,None,1,CDK6
46279|USF1,0.9999999669359176,Homo sapiens,USF1,tf,K562,Erythroblast,Bone Marrow,1,USF1
